nr_pos,data,url,liczba_glos,kadencja
86,11 września 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1749,88,8
86,16 października 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1753,38,8
85,31 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1746,24,8
85,9 sierpnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1747,11,8
85,30 sierpnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1748,38,8
84,17 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1743,7,8
84,19 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1745,169,8
83,3 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1740,7,8
83,4 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1741,111,8
82,12 czerwca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1737,6,8
82,13 czerwca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1738,126,8
81,15 maja 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1734,6,8
81,16 maja 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1735,92,8
80,12 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1731,26,8
80,25 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1732,54,8
79,3 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1728,1,8
79,4 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1729,49,8
78,14 marca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1726,2,8
78,15 marca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1727,68,8
77,30 stycznia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1718,33,8
77,20 lutego 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1721,21,8
77,21 lutego 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1722,112,8
76,16 stycznia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1715,440,8
76,17 stycznia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1716,22,8
75,28 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1714,15,8
74,12 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1707,3,8
74,14 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1710,66,8
73,5 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1704,5,8
73,6 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1705,50,8
72,21 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1701,13,8
72,22 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1702,38,8
72,23 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1703,6,8
71,7 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1698,5,8
71,9 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1700,135,8
70,23 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1696,58,8
69,2 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1693,8,8
69,3 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1694,4,8
69,4 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1695,75,8
68,12 września 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1687,4,8
68,13 września 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1691,31,8
67,18 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1684,3,8
67,19 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1685,9,8
67,20 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1686,188,8
66,3 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1680,162,8
66,5 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1682,150,8
65,27 czerwca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1676,12,8
64,14 czerwca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1674,8,8
64,15 czerwca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1675,83,8
63,6 czerwca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1671,23,8
63,7 czerwca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1672,69,8
62,8 maja 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1665,2,8
62,9 maja 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1666,15,8
62,10 maja 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1667,96,8
61,11 kwietnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1661,6,8
61,12 kwietnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1662,39,8
61,13 kwietnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1664,33,8
60,20 marca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1657,9,8
60,22 marca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1659,84,8
59,28 lutego 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1654,42,8
59,1 marca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1655,32,8
59,6 marca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1656,74,8
58,8 lutego 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1652,41,8
57,25 stycznia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1648,5,8
57,26 stycznia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1649,89,8
56,11 stycznia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1647,409,8
55,9 stycznia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1643,3,8
55,10 stycznia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1644,76,8
54,12 grudnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1639,4,8
54,14 grudnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1641,103,8
54,15 grudnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1642,10,8
53,6 grudnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1636,22,8
53,7 grudnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1637,1,8
53,8 grudnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1638,147,8
52,22 listopada 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1633,9,8
52,24 listopada 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1635,109,8
51,8 listopada 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1631,7,8
51,9 listopada 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1632,91,8
50,26 października 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1629,7,8
50,27 października 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1630,98,8
49,11 października 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1621,3,8
49,12 października 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1622,21,8
48,27 września 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1615,3,8
48,29 września 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1619,25,8
47,12 września 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1611,1,8
47,15 września 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1614,83,8
46,18 lipca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1608,73,8
46,19 lipca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1609,3,8
46,20 lipca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1610,94,8
45,5 lipca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1605,3,8
45,7 lipca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1606,120,8
45,12 lipca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1607,65,8
44,20 czerwca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1602,1,8
44,22 czerwca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1604,62,8
43,8 czerwca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1600,71,8
42,24 maja 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1596,3,8
42,25 maja 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1597,58,8
41,10 maja 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1593,1,8
41,11 maja 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1594,58,8
40,21 kwietnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1592,32,8
39,7 kwietnia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1590,103,8
38,23 marca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1586,53,8
37,9 marca 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1583,65,8
36,22 lutego 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1579,2,8
36,24 lutego 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1581,50,8
35,10 lutego 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1578,59,8
34,26 stycznia 2017 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1575,28,8
33,16 grudnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1570,37,8
32,13 grudnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1565,34,8
32,14 grudnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1566,109,8
32,15 grudnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1567,44,8
31,29 listopada 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1561,16,8
31,30 listopada 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1562,131,8
31,1 grudnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1563,7,8
31,2 grudnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1564,60,8
30,15 listopada 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1559,17,8
30,16 listopada 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1560,49,8
29,3 listopada 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1557,8,8
29,4 listopada 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1558,73,8
28,20 października 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1555,6,8
28,21 października 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1556,68,8
27,4 października 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1551,2,8
27,5 października 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1552,5,8
27,6 października 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1553,26,8
26,21 września 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1548,1,8
26,22 września 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1549,7,8
26,23 września 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1550,12,8
25,13 września 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1546,1,8
25,14 września 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1547,14,8
24,5 września 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1544,41,8
23,19 lipca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1540,31,8
23,21 lipca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1542,9,8
23,22 lipca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1543,72,8
22,5 lipca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1537,4,8
22,6 lipca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1538,39,8
22,7 lipca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1539,64,8
21,22 czerwca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1535,124,8
21,23 czerwca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1536,28,8
20,8 czerwca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1531,11,8
20,9 czerwca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1532,22,8
20,10 czerwca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1533,117,8
19,19 maja 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1529,3,8
19,20 maja 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1530,92,8
18,11 maja 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1525,8,8
18,13 maja 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1527,74,8
17,27 kwietnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1522,2,8
17,29 kwietnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1524,46,8
16,13 kwietnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1519,51,8
16,14 kwietnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1521,10,8
15,31 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1516,124,8
15,1 kwietnia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1517,13,8
14,16 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1512,5,8
14,17 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1513,1,8
14,18 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1514,46,8
13,9 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1509,2,8
13,11 marca 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1511,43,8
12,25 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1507,35,8
12,26 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1508,4,8
11,9 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1503,3,8
11,11 lutego 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1505,36,8
10,28 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1501,153,8
10,29 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1502,218,8
8,14 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1496,5,8
8,15 stycznia 2016 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1497,20,8
7,29 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1493,43,8
7,30 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1494,32,8
6,21 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1491,4,8
6,22 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1492,68,8
5,15 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1488,1,8
5,16 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1489,27,8
5,17 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1490,14,8
4,9 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1486,7,8
4,10 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1487,4,8
3,2 grudnia 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1484,13,8
2,25 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1482,29,8
1,12 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1476,8,8
1,13 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1478,4,8
1,16 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1479,7,8
1,18 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1480,26,8
1,19 listopada 2015 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1481,33,8
